"","CASE_STATUS","EMPLOYER_STATE","SOC_NAME","FULL_TIME_POSITION","PREVAILING_WAGE","PW_SOURCE","WAGE_RATE_OF_PAY_FROM","WORKSITE_STATE","DECISION_DURATION","EMPLOYMENT_DURATION"
"2326","CERTIFIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",58510,"OES",58510,"South",6,1095
"2327","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",110864,"OES",122000,"West",4,1095
"2328","CERTIFIED","Mid-Atlantic","FINANCIAL ANALYSTS","Y",59883,"OES",60000,"Mid-Atlantic",6,1094
"2330","CERTIFIED","South","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Y",62338,"OES",62338,"West",4,1095
"2331","CERTIFIED","Mid-Atlantic","ELECTRICAL ENGINEERS","Y",73445,"Other",73445,"Mid-Atlantic",6,919
"2333","CERTIFIED","Midwest","ELECTRICAL ENGINEERS","Y",64626,"OES",64650,"Midwest",6,1094
"2334","CERTIFIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",75421,"Other",85000,"Mid-Atlantic",6,871
"2335","CERTIFIED","West","MANAGEMENT ANALYSTS","Y",109346,"OES",120596,"West",6,1095
"2338","CERTIFIED","Mid-Atlantic","ACCOUNTANTS AND AUDITORS","Y",55765,"OES",55765,"Mid-Atlantic",6,1095
"2340","CERTIFIED","New England","COMPUTER SYSTEMS ANALYSTS","Y",69638,"Other",72000,"New England",5,1095
"2341","CERTIFIED","Southwest","COMPUTER SYSTEMS ANALYST","Y",96013,"OES",96013,"West",6,1093
"2342","CERTIFIED","South","ELECTRICAL ENGINEERS","Y",79456,"OES",79456,"Midwest",7,1095
"2343","CERTIFIED","Midwest","COMPUTER PROGRAMMERS","Y",63669,"Other",63669,"Midwest",6,881
"2344","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",64813,"Other",64813,"Mid-Atlantic",6,1094
"2345","CERTIFIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",70803,"OES",70803,"Mid-Atlantic",6,1096
"2347","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",76170,"OES",76170,"West",4,1094
"2348","CERTIFIED","West","COMPUTER SYSTEMS ANALYSTS","Y",89149,"OES",90000,"West",476,455
"2349","CERTIFIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",61547,"OES",81500,"West",6,1096
"2350","CERTIFIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",78603,"OES",105000,"New England",7,1094
"2351","CERTIFIED","Midwest","OPERATIONS RESEARCH ANALYSTS","Y",25.9,"OES",26,"Midwest",4,1095
"2352","CERTIFIED","Mid-Atlantic","ACCOUNTANTS AND AUDITORS","Y",43638,"OES",55500,"Southwest",7,1096
"2353","CERTIFIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",85197,"Other",1e+05,"Southwest",6,1095
"2354","CERTIFIED","South","COMPUTER SYSTEMS ANALYSTS","Y",64813,"Other",75000,"Mid-Atlantic",9,1095
"2355","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",75421,"OES",75421,"Mid-Atlantic",6,1095
"2356","CERTIFIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",57533,"OES",63500,"West",6,1095
"2358","CERTIFIED","Southwest","ACCOUNTANTS AND AUDITORS","Y",73321,"Other",73321,"West",5,1095
"2360","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",73528,"Other",80221,"Midwest",6,1095
"2362","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",97342,"Other",97500,"Midwest",7,1094
"2363","CERTIFIED","West","MANAGEMENT ANALYSTS","Y",92019,"OES",102900,"West",6,1096
"2365","CERTIFIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",75046,"OES",78000,"Midwest",4,1095
"2366","CERTIFIED","West","COMPUTER SYSTEMS ANALYSTS","Y",77085,"OES",84000,"West",5,1095
"2368","CERTIFIED","Midwest","COMPUTER PROGRAMMERS","Y",51293,"OES",70100,"Midwest",6,729
"2369","CERTIFIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",52478,"Other",60000,"Midwest",26,1095
"2370","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",68515,"OES",70000,"Mid-Atlantic",4,1095
"2373","CERTIFIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",55910,"OES",60000,"Mid-Atlantic",4,403
"2374","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",108264,"OES",108264,"Midwest",6,1096
"2375","CERTIFIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",85738,"Other",1e+05,"West",6,1094
"2376","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",35.1,"Other",35.1,"South",6,1095
"2377","CERTIFIED","Southwest","COMPUTER SYSTEMS ANALYST","Y",88234,"OES",88234,"Midwest",4,1093
"2379","CERTIFIED","Mid-Atlantic","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","Y",79685,"OES",122000,"Mid-Atlantic",6,626
"2380","CERTIFIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",77210,"OES",85000,"Midwest",4,1096
"2381","CERTIFIED","South","MANAGEMENT ANALYSTS","Y",48818,"OES",48818,"South",4,1095
"2382","CERTIFIED","Mid-Atlantic","ACCOUNTANTS AND AUDITORS","N",25.88,"Other",25.88,"Mid-Atlantic",592,1095
